pool_id,location,sample_type,sampling_date,order,family,genus,species,description,location_pool_id
7,Del Sol/Camino Corto,FB250,11-Feb-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,Del Sol/Camino Corto - 7
Santa Rosa,Manzanita Village,FB250,11-Feb-19,Cladocera,Moinidae,Moina,NA,NA,Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,11-Feb-19,Cladocera,Macrothricidae,Echinisca,NA,NA,Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,11-Feb-19,Cladocera,Chydoridae,NA,NA,NA,Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,11-Feb-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,Manzanita Village - Santa Rosa
Santa Catalina,Manzanita Village,FB250,11-Feb-19,Cladocera,Macrothricidae,Echinisca,NA,NA,Manzanita Village - Santa Catalina
Santa Catalina,Manzanita Village,FB250,11-Feb-19,Cladocera,Moinidae,Moina,macrocopa,NA,Manzanita Village - Santa Catalina
Santa Catalina,Manzanita Village,FB250,11-Feb-19,Cladocera,Daphniidae,Ceriodaphnia,dubia,NA,Manzanita Village - Santa Catalina
Santa Catalina,Manzanita Village,FB250,11-Feb-19,Cladocera,Chydoridae,NA,NA,NA,Manzanita Village - Santa Catalina
14,North Parcel,FB250,11-Feb-19,Cladocera,Moinidae,Moina,NA,NA,North Parcel - 14
14,North Parcel,FB250,11-Feb-19,Cladocera,Daphniidae,Daphnia,magna,NA,North Parcel - 14
14,North Parcel,FB250,11-Feb-19,Cladocera,Daphniidae,Daphnia,NA,NA,North Parcel - 14
Main,More Mesa,FB250,7-Mar-19,Cladocera,Chydoridae,NA,NA,NA,More Mesa - Main
Main,More Mesa,FB250,7-Mar-19,Cladocera,Macrothricidae,Echinisca,NA,NA,More Mesa - Main
Main,More Mesa,FB250,7-Mar-19,Cladocera,Moinidae,Moina,NA,NA,More Mesa - Main
Main,More Mesa,FB250,7-Mar-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,More Mesa - Main
North Campus Open Space - 1,NA,FB250,13-Mar-19,Cladocera,Chydoridae,NA,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,13-Mar-19,Cladocera,Daphniidae,Daphnia,pulex,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,13-Mar-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,13-Mar-19,Cladocera,Macrothricidae,Echinisca,NA,NA,North Campus Open Space - 1
4,North Campus Open Space,FB250,14-Mar-19,Cladocera,Daphniidae,Daphnia,pulex,NA,North Campus Open Space - 4
4,North Campus Open Space,FB250,14-Mar-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,North Campus Open Space - 4
6,South Parcel,FB250,8-Apr-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,South Parcel - 6
6,South Parcel,FB250,8-Apr-19,Cladocera,Daphniidae,Daphnia,pulex,NA,South Parcel - 6
6,South Parcel,FB250,8-Apr-19,Cladocera,Chydoridae,Alona,NA,NA,South Parcel - 6
6,South Parcel,FB250,8-Apr-19,Cladocera,Macrothricidae,Echinisca,NA,NA,South Parcel - 6
7,Del Sol/Camino Corto,FB250,10-Apr-19,Cladocera,Chydoridae,Alona,NA,NA,Del Sol/Camino Corto - 7
7,Del Sol/Camino Corto,FB250,10-Apr-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,Del Sol/Camino Corto - 7
7,Del Sol/Camino Corto,FB250,10-Apr-19,Cladocera,Macrothricidae,Echinisca,NA,NA,Del Sol/Camino Corto - 7
Santa Catalina,Manzanita Village,FB250,15-Apr-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,Manzanita Village - Santa Catalina
Santa Catalina,Manzanita Village,FB250,15-Apr-19,Cladocera,Chydoridae,Alona,NA,NA,Manzanita Village - Santa Catalina
Santa Catalina,Manzanita Village,FB250,15-Apr-19,Cladocera,Macrothricidae,Echinisca,NA,NA,Manzanita Village - Santa Catalina
4,North Campus Open Space,CORE,1-May-19,Cladocera,Daphniidae,Daphnia,pulex,NA,North Campus Open Space - 4
4,North Campus Open Space,SW1,1-May-19,Cladocera,Daphniidae,Daphnia,pulex,NA,North Campus Open Space - 4
Santa Rosa,Manzanita Village,FB250,2-May-19,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,2-May-19,Cladocera,Daphniidae,Daphnia,NA,NA,Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,2-May-19,Cladocera,Chydoridae,Alona,NA,NA,Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,2-May-19,Cladocera,Macrothricidae,Echinisca,NA,NA,Manzanita Village - Santa Rosa
North Campus Open Space - 1,NA,SW1,28-Jan-19,Cladocera,Macrothricidae,Echinisca,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,3-May-19,Copepod,Calanoida,Diaptomidae,NA,NA,North Campus Open Space - 1
Santa Rosa,Manzanita Village,CORE,2-May-19,Copepod,Cyclopidae,NA,NA,NA,Manzanita Village - Santa Rosa
4,North Campus Open Space,FB250,1-May-19,Copepod,Cyclopidae,NA,NA,NA,North Campus Open Space - 4
2,North Campus Open Space,FB250,1-May-19,Copepod,Calanoida,NA,NA,NA,North Campus Open Space - 2
2,North Campus Open Space,FB250,1-May-19,Copepod,Cyclopidae,NA,NA,NA,North Campus Open Space - 2
14,North Parcel,FB250,17-Apr-19,Copepod,Calanoida,NA,NA,NA,North Parcel - 14
North Campus Open Space - 1,NA,FB250,8-Apr-19,Copepod,Calanoida,Diaptomidae,NA,NA,North Campus Open Space - 1
Del Sol/Camino Corto - N,Del Sol/Camino Corto,FB250,27-Jan-19,Copepod,Cyclopidae,NA,NA,NA,Del Sol/Camino Corto - Del Sol/Camino Corto - N
6,West Campus,FB250,27-Jan-19,Copepod,Cyclopidae,NA,NA,NA,West Campus - 6
North Campus Open Space - 1,NA,FB250,28-Jan-19,Copepod,Calanoida,Diaptomidae,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,28-Jan-19,Copepod,Cyclopidae,NA,NA,NA,North Campus Open Space - 1
4,North Campus Open Space,FB250,30-Jan-19,Copepod,Cyclopidae,NA,NA,NA,North Campus Open Space - 4
2,North Campus Open Space,FB250,7-Feb-19,Copepod,Cyclopidae,NA,NA,NA,North Campus Open Space - 2
6,South Parcel,FB250,8-Feb-19,Copepod,Calanoida,Diaptomidae,NA,NA,South Parcel - 6
7,Del Sol/Camino Corto,FB250,11-Feb-19,Copepod,Cyclopidae,NA,NA,NA,Del Sol/Camino Corto - 7
Santa Rosa,Manzanita Village,FB250,11-Feb-19,Copepod,Calanoida,Diaptomidae,NA,NA,Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,11-Feb-19,Copepod,Cyclopidae,NA,NA,NA,Manzanita Village - Santa Rosa
Santa Catalina,Manzanita Village,FB250,11-Feb-19,Copepod,Calanoida,Diaptomidae,NA,NA,Manzanita Village - Santa Catalina
Santa Catalina,Manzanita Village,FB250,11-Feb-19,Copepod,Cyclopidae,NA,NA,NA,Manzanita Village - Santa Catalina
14,North Parcel,FB250,11-Feb-19,Copepod,Calanoida,Diaptomidae,NA,NA,North Parcel - 14
14,North Parcel,FB250,11-Feb-19,Copepod,Cyclopidae,NA,NA,NA,North Parcel - 14
Main,More Mesa,FB250,7-Mar-19,Copepod,Calanoida,Diaptomidae,NA,NA,More Mesa - Main
Main,More Mesa,FB250,7-Mar-19,Copepod,Cyclopidae,NA,NA,NA,More Mesa - Main
North Campus Open Space - 1,NA,FB250,13-Mar-19,Copepod,Calanoida,Diaptomidae,NA,NA,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,13-Mar-19,Copepod,Cyclopidae,NA,NA,NA,North Campus Open Space - 1
4,North Campus Open Space,FB250,14-Mar-19,Copepod,Cyclopidae,NA,NA,NA,North Campus Open Space - 4
6,South Parcel,FB250,8-Apr-19,Copepod,Calanoida,Diaptomidae,NA,NA,South Parcel - 6
7,Del Sol/Camino Corto,FB250,10-Apr-19,Copepod,Cyclopidae,NA,NA,NA,Del Sol/Camino Corto - 7
Santa Catalina,Manzanita Village,FB250,15-Apr-19,Copepod,Cyclopidae,NA,NA,NA,Manzanita Village - Santa Catalina
Santa Catalina,Manzanita Village,FB250,15-Apr-19,Copepod,Calanoida,Diaptomidae,NA,NA,Manzanita Village - Santa Catalina
4,North Campus Open Space,CORE,1-May-19,Copepod,Cyclopidae,NA,NA,NA,North Campus Open Space - 4
4,North Campus Open Space,SW1,1-May-19,Copepod,Calanoida,Diaptomidae,NA,NA,North Campus Open Space - 4
Santa Rosa,Manzanita Village,FB250,2-May-19,Copepod,Cyclopidae,NA,NA,NA,Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,2-May-19,Copepod,Calanoida,Diaptomidae,NA,NA,Manzanita Village - Santa Rosa
North Campus Open Space - 1,NA,SW1,28-Jan-19,Copepod,Calanoida,Diaptomidae,NA,NA,North Campus Open Space - 1
2,North Campus Open Space,FB250,1-May-19,Ostracod,Ilyocyprididae,NA,NA,NA,North Campus Open Space - 2
Del Sol/Camino Corto - N,Del Sol/Camino Corto,FB250,27-Jan-19,Ostracod,NA,NA,NA,"triangle, white",Del Sol/Camino Corto - Del Sol/Camino Corto - N
Del Sol/Camino Corto - N,Del Sol/Camino Corto,FB250,27-Jan-19,Ostracod,NA,NA,NA,"bean, white",Del Sol/Camino Corto - Del Sol/Camino Corto - N
Del Sol/Camino Corto - N,Del Sol/Camino Corto,FB250,27-Jan-19,Ostracod,NA,NA,NA,"bean, green",Del Sol/Camino Corto - Del Sol/Camino Corto - N
6,West Campus,FB250,27-Jan-19,Ostracod,NA,NA,NA,"triangle, green",West Campus - 6
6,West Campus,FB250,27-Jan-19,Ostracod,NA,NA,NA,"bean, white",West Campus - 6
North Campus Open Space - 1,NA,FB250,28-Jan-19,Ostracod,NA,NA,NA,triangle,North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,28-Jan-19,Ostracod,NA,NA,NA,"bean, green",North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,28-Jan-19,Ostracod,NA,NA,NA,"bean, white",North Campus Open Space - 1
4,North Campus Open Space,FB250,30-Jan-19,Ostracod,NA,NA,NA,"bean, green",North Campus Open Space - 4
4,North Campus Open Space,FB250,30-Jan-19,Ostracod,NA,NA,NA,"bean, white",North Campus Open Space - 4
