objectid,location,pool_id,notes,gps_date,gps_time,acres,global_id,shape_area,shape_length,area,location_pool_id
24,North Parcel,4,NA,3/18/19 8:00,15:58:22,0.021073347,dd5055f6-b568-45b8-b1a7-ba7c7594b375,917.9482422,127.5149814,85.28026479,North Parcel - 4
26,North Parcel,5,NA,3/18/19 8:00,16:00:53,0.012191958,4905342e-d86b-4d44-afe1-8871f9967269,531.078125,100.7228858,49.33882004,North Parcel - 5
27,North Parcel,2,NA,3/18/19 8:00,16:02:30,0.018261941,2aed97a1-9f91-4db6-bdaa-93b0469c9273,795.4882813,102.2118504,73.90335113,North Parcel - 2
28,North Parcel,1,NA,3/18/19 8:00,16:03:35,0.058218369,f170bf0d-a30a-44f8-a066-bcdd03656638,2535.988281,205.4085083,235.6012487,North Parcel - 1
29,North Parcel,18,NA,3/18/19 8:00,16:09:55,0.032413447,76d824fe-5ed7-4665-bd11-34acf87105df,1411.924805,141.8273042,131.1722335,North Parcel - 18
30,North Parcel,19,NA,3/18/19 8:00,16:11:44,0.08879961,3da2d9dc-8bcf-4b60-9033-414a8115cde3,3868.097656,369.2349367,359.358379,North Parcel - 19
32,Storke Ranch,Main,NA,3/19/19 8:00,10:07:59,1.47740003,17616e1d-8c54-4a57-8bd1-3c7a4c4dea9f,64355.34863,1317.499495,5978.813314,Storke Ranch - Main
33,Storke Ranch,East,NA,3/19/19 8:00,10:21:34,0.093813126,98cd92c3-037c-41ab-b15d-6756d4dbfbef,4086.490234,311.3352443,379.6477331,Storke Ranch - East
34,Storke Ranch,2017,NA,3/19/19 8:00,10:25:37,0.016946714,0cfeb055-8630-42c8-883e-ba1fcd4c552d,738.1962891,103.675166,68.58074574,Storke Ranch - 2017
35,Storke Ranch,South,NA,3/19/19 8:00,10:45:50,0.057695684,56fecfa8-a48f-431d-9166-3619916387f8,2513.220703,219.2566712,233.4860695,Storke Ranch - South
36,Storke Ranch,North,NA,3/19/19 8:00,10:56:34,0.075654769,efc958ee-5b80-4073-a086-571b6de81802,3295.509766,225.5303782,306.1631719,Storke Ranch - North
37,Storke Ranch,2007,NA,3/19/19 8:00,11:05:06,0.01655118,924077b2-6c42-40cd-8826-ed46737b334f,720.9697266,141.2671978,66.98034417,Storke Ranch - 2007
38,Del Sol/Camino Corto,N,NA,2/28/19 8:00,11:10:19,0.313129187,92d27530-d684-4dea-8fcb-0f629671347c,13639.86328,565.4307285,1267.18599,Del Sol/Camino Corto - N
39,Del Sol/Camino Corto,V,NA,2/28/19 8:00,11:16:52,0.233580609,0e7d70ec-c605-4bd1-829f-368b32da706f,10174.74121,551.6444046,945.2653045,Del Sol/Camino Corto - V
40,Del Sol/Camino Corto,E,NA,2/28/19 8:00,11:25:42,0.361076248,2c818c98-f7d8-4b72-8631-b7553b461fe7,15728.42871,603.8978815,1461.220256,Del Sol/Camino Corto - E
41,Del Sol/Camino Corto,W,NA,2/28/19 8:00,11:31:38,0.238353793,a106df16-c50d-4fbd-b480-9c48b35f6e41,10382.66113,569.8663571,964.581716,Del Sol/Camino Corto - W
42,Del Sol/Camino Corto,F,NA,2/28/19 8:00,11:36:36,0.048555351,3902c960-d443-45f9-99f0-9f3eef042503,2115.061523,232.2383955,196.4958355,Del Sol/Camino Corto - F
43,Del Sol/Camino Corto,S,NA,2/28/19 8:00,11:39:25,0.141208493,69945898-e99b-4737-83cc-0e70f5e7b726,6151.032227,462.1425681,571.450146,Del Sol/Camino Corto - S
44,Del Sol/Camino Corto,H,NA,2/28/19 8:00,11:46:05,0.016548834,e64d12e2-b853-4146-a808-a6bceeb10892,720.8662109,96.57427971,66.97072724,Del Sol/Camino Corto - H
