date,location_pool_id,water_year,water_level_in
2019-01-18,West Campus - 1,2019,9.5
2019-01-18,West Campus - 2,2019,6
2019-01-18,West Campus - 3,2019,2.5
2019-01-18,West Campus - 4,2019,10
2019-01-18,West Campus - 5,2019,7
2019-01-18,West Campus - 6,2019,13
2019-01-18,West Campus - 7,2019,2.5
2019-01-18,West Campus - 8,2019,8
2019-01-18,West Campus - 9,2019,8
2019-01-18,West Campus - 10,2019,8.75
2019-01-18,West Campus - 11,2019,7
2019-01-18,West Campus - 13,2019,8
2019-01-18,Ellwood Mesa - 1,2019,13
2019-01-18,Ellwood Mesa - 2,2019,4.5
2019-01-18,Ellwood Mesa - 3,2019,4.5
2019-01-18,Ellwood Mesa - 4,2019,4.5
2019-01-18,Ellwood Mesa - 5,2019,17
2019-01-18,Ellwood Mesa - 6,2019,5
2019-02-01,West Campus - 1,2019,9
2019-02-01,West Campus - 2,2019,6
2019-02-01,West Campus - 3,2019,2
2019-02-01,West Campus - 5,2019,2
2019-02-01,West Campus - 4,2019,9.5
2019-02-01,Storke Ranch - Main,2019,17
2019-02-01,Storke Ranch - East,2019,7.75
2019-02-01,Storke Ranch - 201&,2019,11.5
2019-02-01,Storke Ranch - 2007,2019,12
2019-02-01,Storke Ranch - South,2019,12
2019-02-01,Storke Ranch - North,2019,12.5
2019-02-01,North Campus Open Space - 9,2019,7
2019-02-01,North Campus Open Space - 8,2019,14
2019-02-01,North Campus Open Space - 7,2019,16.5
2019-02-01,North Campus Open Space - 6,2019,17.5
2019-02-01,North Campus Open Space - 5,2019,17
2019-02-01,North Campus Open Space - 4,2019,16.5
2019-02-01,North Campus Open Space - 3,2019,8
2019-02-01,North Campus Open Space - 2,2019,18
2019-02-01,North Campus Open Space - 1,2019,18
2019-02-01,South Parcel - 3,2019,14
2019-02-01,South Parcel - 9,2019,8.25
2019-02-01,South Parcel - 8,2019,13.75
2019-02-01,South Parcel - 7,2019,14
2019-02-01,South Parcel - 6,2019,11
2019-02-01,South Parcel - 5,2019,19.5
2019-02-01,South Parcel - 4,2019,11
2019-02-01,South Parcel - 1,2019,9.5
2019-02-01,South Parcel - 2,2019,13.25
2019-02-01,South Parcel - SWW1,2019,10.75
2019-02-05,West Campus - 6,2019,13
2019-02-05,West Campus - 7,2019,2.5
2019-02-05,West Campus - 8,2019,9
2019-02-05,West Campus - 8,2019,9
2019-02-05,West Campus - 13,2019,6.375
2019-02-05,West Campus - 9,2019,8.75
2019-02-05,West Campus - 10,2019,8.625
2019-02-05,West Campus - 11,2019,8.75
2019-02-06,Manzanita Village - Manzanita Lake,2019,19.2
2019-02-06,Manzanita Village - Chumash,2019,34
2019-02-06,Manzanita Village - Anacapa West,2019,46.8
2019-02-06,Manzanita Village - Anacapa East,2019,48.8
2019-02-06,Manzanita Village - Santa Barbara,2019,11
2019-02-06,Manzanita Village - Santa Catalina,2019,10.3
2019-02-06,Manzanita Village - San Miguel,2019,14.5
2019-02-06,Manzanita Village - Santa Rosa,2019,14.5
2019-02-06,Manzanita Village - Santa Cruz,2019,27.3
2019-02-07,Ellwood Mesa - Created pool by trees,2019,16
2019-02-07,Ellwood Mesa - 6,2019,2.75
2019-02-07,Ellwood Mesa - 5,2019,3
2019-02-07,Ellwood Mesa - 4,2019,3.25
2019-02-07,Ellwood Mesa - 3,2019,4
2019-02-07,Ellwood Mesa - 1,2019,9
2019-02-07,Ellwood Mesa - 2,2019,3.5
2019-02-07,Del Sol/Camino Corto - 7,2019,10.25
2019-02-07,Del Sol/Camino Corto - 5,2019,9
2019-02-07,Del Sol/Camino Corto - 4,2019,13.25
2019-02-07,Del Sol/Camino Corto - 8,2019,9.5
2019-02-07,Del Sol/Camino Corto - 3,2019,11.5
2019-02-07,Del Sol/Camino Corto - 2,2019,11
2019-02-07,Del Sol/Camino Corto - 6,2019,11.5
2019-02-07,Del Sol/Camino Corto - U,2019,8.5
2019-02-07,Del Sol/Camino Corto - T,2019,2.75
2019-02-07,Del Sol/Camino Corto - G,2019,10
2019-02-07,Del Sol/Camino Corto - M,2019,12.75
2019-02-07,Del Sol/Camino Corto - H,2019,13.75
2019-02-07,Del Sol/Camino Corto - S,2019,11.25
2019-02-07,Del Sol/Camino Corto - F,2019,10
2019-02-07,Del Sol/Camino Corto - W,2019,14.5
2019-02-07,Del Sol/Camino Corto - E,2019,12
2019-02-07,Del Sol/Camino Corto - V,2019,9.5
2019-02-07,Del Sol/Camino Corto - N,2019,10.25
2019-02-08,Storke Ranch - Main,2019,18.5
2019-02-08,Storke Ranch - South,2019,12
2019-02-08,Storke Ranch - North,2019,12
2019-02-08,Storke Ranch - 2007,2019,11.5
2019-02-08,Storke Ranch - 2018,2019,12
2019-02-08,Storke Ranch - East,2019,7
2019-02-08,West Campus - 5,2019,0
2019-02-08,West Campus - 2,2019,6.25
2019-02-08,West Campus - 4,2019,11.5
2019-02-08,West Campus - 3,2019,4.875
2019-02-08,West Campus - 1,2019,9
2019-02-08,North Campus Open Space - 9,2019,0
2019-02-08,North Campus Open Space - 8,2019,13.5
2019-02-08,North Campus Open Space - 7,2019,15.75
2019-02-08,North Campus Open Space - 6,2019,16
2019-02-08,North Campus Open Space - 5,2019,15.75
2019-02-08,North Campus Open Space - 4,2019,16
2019-02-08,North Campus Open Space - 3,2019,16
2019-02-08,North Campus Open Space - 2,2019,18
2019-02-08,North Campus Open Space - 1,2019,18
2019-02-08,South Parcel - 9,2019,7.75
2019-02-08,South Parcel - 8,2019,11.5
2019-02-08,South Parcel - 7,2019,13.75
2019-02-08,South Parcel - 6,2019,10.5
2019-02-08,South Parcel - 5,2019,19
2019-02-08,South Parcel - 4,2019,11
2019-02-08,South Parcel - 1,2019,9
2019-02-08,South Parcel - 2,2019,13
2019-02-08,South Parcel - 3,2019,13.75
2019-02-08,South Parcel - SWW 1,2019,8.5
2019-02-03,Ellwood Mesa - 1,2019,7.9
2019-02-03,Ellwood Mesa - 2,2019,3.5
2019-02-03,Ellwood Mesa - 3,2019,18.5
2019-02-03,Ellwood Mesa - 4,2019,5.5
2019-02-03,Ellwood Mesa - 5,2019,11
2019-02-11,West Campus - 11,2019,7.75
2019-02-11,West Campus - 10,2019,8.125
2019-02-11,West Campus - 9,2019,8.375
2019-02-11,West Campus - 13,2019,5
2019-02-11,West Campus - 8,2019,6.875
2019-02-11,West Campus - 7,2019,2
2019-02-11,West Campus - 6,2019,12.875
2019-02-11,North Parcel - 9,2019,16
2019-02-11,North Parcel - 7,2019,14
2019-02-11,North Parcel - 6,2019,18
2019-02-11,North Parcel - 3,2019,13
2019-02-11,North Parcel - 4,2019,9
2019-02-11,North Parcel - 16,2019,17
2019-02-11,North Parcel - 14,2019,15
2019-02-11,North Parcel - Ph1,2019,15.5
2019-02-11,North Parcel - 19,2019,14
2019-02-04,North Parcel - Ph1,2019,16
2019-02-04,North Parcel - 19,2019,15
2019-02-04,North Parcel - 16,2019,17
2019-02-04,North Parcel - 14,2019,16
2019-02-04,North Parcel - 3,2019,14
2019-02-04,North Parcel - 4,2019,9
2019-02-04,North Parcel - 9,2019,16.5
2019-02-04,North Parcel - 7,2019,14
2019-02-04,North Parcel - 6,2019,18
2019-02-14,Del Sol/Camino Corto - 7,2019,11.5
2019-02-14,Del Sol/Camino Corto - 3,2019,13.5
2019-02-14,Del Sol/Camino Corto - 8,2019,11.25
2019-02-14,Del Sol/Camino Corto - 5,2019,10
2019-02-14,Del Sol/Camino Corto - 4,2019,14.5
2019-02-14,Del Sol/Camino Corto - 2,2019,12
2019-02-14,Del Sol/Camino Corto - 6,2019,12.5
2019-02-14,Del Sol/Camino Corto - U,2019,10
2019-02-14,Del Sol/Camino Corto - T,2019,5
2019-02-14,Del Sol/Camino Corto - G,2019,11.25
2019-02-14,Del Sol/Camino Corto - M,2019,14.25
2019-02-14,Del Sol/Camino Corto - H,2019,15
2019-02-14,Del Sol/Camino Corto - S,2019,12
2019-02-14,Del Sol/Camino Corto - E,2019,11
2019-02-14,Del Sol/Camino Corto - W,2019,15.5
2019-02-14,Del Sol/Camino Corto - E,2019,12.75
2019-02-14,Del Sol/Camino Corto - V,2019,11
2019-02-14,Del Sol/Camino Corto - N,2019,11.25
2019-02-15,Storke Ranch - Main,2019,20
2019-02-15,Storke Ranch - East,2019,8.25
2019-02-15,Storke Ranch - 2018,2019,13
2019-02-15,Storke Ranch - North,2019,12.75
2019-02-15,Storke Ranch - 2007,2019,12.5
2019-02-15,Storke Ranch - South,2019,13
2019-02-15,West Campus - 4,2019,12.75
2019-02-15,West Campus - 5,2019,7.125
2019-02-15,West Campus - 2,2019,7.375
2019-02-15,West Campus - 3,2019,6.375
2019-02-15,West Campus - 1,2019,10.125
2019-02-15,North Campus Open Space - 9,2019,0
2019-02-15,North Campus Open Space - 8,2019,15
2019-02-15,North Campus Open Space - 7,2019,17.75
2019-02-15,North Campus Open Space - 6,2019,18
2019-02-15,North Campus Open Space - 5,2019,17
2019-02-15,North Campus Open Space - 4,2019,17
2019-02-15,North Campus Open Space - 3,2019,13.5
2019-02-15,North Campus Open Space - 2,2019,18
2019-02-15,North Campus Open Space - 1,2019,18
2019-02-15,South Parcel - 9,2019,9.25
2019-02-15,South Parcel - 8,2019,14
2019-02-15,South Parcel - 7,2019,14.25
2019-02-15,South Parcel - 6,2019,11
2019-02-15,South Parcel - 5,2019,19.75
2019-02-15,South Parcel - 4,2019,11
2019-02-15,South Parcel - 1,2019,9.75
2019-02-15,South Parcel - 2,2019,13.5
2019-02-15,South Parcel - 3,2019,14
2019-02-15,South Parcel - SWW 1,2019,13
2019-02-15,More Mesa - Main pool,2019,15.75
2019-02-18,Ellwood Mesa - 1,2019,10
2019-02-18,Ellwood Mesa - 2,2019,3.5
2019-02-18,Ellwood Mesa - 3,2019,5
2019-02-18,Ellwood Mesa - 4,2019,3.5
2019-02-18,Ellwood Mesa - 5,2019,17.5
2019-02-18,Ellwood Mesa - 6,2019,4.5
2019-02-19,North Parcel - 9,2019,14.5
2019-02-19,North Parcel - 6,2019,13
2019-02-19,North Parcel - 7,2019,18
2019-02-19,North Parcel - 3,2019,13
2019-02-19,North Parcel - 4,2019,9
2019-02-19,North Parcel - 14,2019,14
2019-02-19,North Parcel - 16,2019,16.5
2019-02-19,North Parcel - Ph1,2019,15
2019-02-19,North Parcel - 19,2019,13.5
2019-02-20,Manzanita Village - San Miguel,2019,14
2019-02-20,Manzanita Village - Santa Rosa,2019,15
2019-02-20,Manzanita Village - Santa Cruz,2019,27
2019-02-20,Manzanita Village - Anacapa East,2019,48.5
2019-02-20,Manzanita Village - Anacapa West,2019,46.5
2019-02-20,Manzanita Village - Santa Barbara,2019,10
2019-02-20,Manzanita Village - Santa Catalina,2019,10.2
2019-02-20,Manzanita Village - Chumash,2019,32.5
2019-02-20,Manzanita Village - Manzanita,2019,15
2019-02-20,West Campus - 11,2019,6.75
2019-02-20,West Campus - 10,2019,6.875
2019-02-20,West Campus - 9,2019,7.25
2019-02-20,West Campus - 13,2019,3.875
2019-02-20,West Campus - 8,2019,4
2019-02-20,West Campus - 7,2019,1.25
2019-02-20,West Campus - 6,2019,12
2019-02-21,More Mesa - 1,2019,14.125
2019-02-21,Del Sol/Camino Corto - 7,2019,9.75
2019-02-21,Del Sol/Camino Corto - 3,2019,10
2019-02-21,Del Sol/Camino Corto - 8,2019,7.5
2019-02-21,Del Sol/Camino Corto - 5,2019,7.75
2019-02-21,Del Sol/Camino Corto - 4,2019,12.5
2019-02-21,Del Sol/Camino Corto - 2,2019,10.75
2019-02-21,Del Sol/Camino Corto - 6,2019,11.5
2019-02-21,Del Sol/Camino Corto - U,2019,7.5
2019-02-21,Del Sol/Camino Corto - T,2019,2
2019-02-21,Del Sol/Camino Corto - G,2019,10
2019-02-21,Del Sol/Camino Corto - M,2019,11.25
2019-02-21,Del Sol/Camino Corto - H,2019,12.25
2019-02-21,Del Sol/Camino Corto - S,2019,10.75
2019-02-21,Del Sol/Camino Corto - E,2019,9.25
2019-02-21,Del Sol/Camino Corto - W,2019,14
2019-02-21,Del Sol/Camino Corto - E,2019,11.5
2019-02-21,Del Sol/Camino Corto - V,2019,9.5
2019-02-21,Del Sol/Camino Corto - N,2019,10.5
2019-02-22,North Campus Open Space - 9,2019,0
2019-02-22,North Campus Open Space - 8,2019,12.75
2019-02-22,North Campus Open Space - 7,2019,14
2019-02-22,North Campus Open Space - 6,2019,14
2019-02-22,North Campus Open Space - 3,2019,9
2019-02-22,North Campus Open Space - 2,2019,18
2019-02-22,North Campus Open Space - 1,2019,18
2019-02-22,South Parcel - 9,2019,6.75
2019-02-22,South Parcel - 8,2019,6
2019-02-22,South Parcel - 7,2019,13.5
2019-02-22,South Parcel - 6,2019,10.5
2019-02-22,South Parcel - 5,2019,19
2019-02-22,South Parcel - 4,2019,10.75
2019-02-22,South Parcel - 1,2019,8.5
2019-02-22,South Parcel - 2,2019,12.75
2019-02-22,South Parcel - 3,2019,13.5
2019-02-22,South Parcel - SWW 1,2019,10.5
2019-02-22,Storke Ranch - Main,2019,16
2019-02-22,Storke Ranch - East,2019,6
2019-02-22,Storke Ranch - 2018,2019,11
2019-02-22,Storke Ranch - South,2019,11
2019-02-22,Storke Ranch - North,2019,11.25
2019-02-22,Storke Ranch - 2007,2019,10.5
2019-02-22,West Campus - 1,2019,8.5
2019-02-22,West Campus - 2,2019,6.125
2019-02-22,West Campus - 3,2019,4.5
2019-02-22,West Campus - 4,2019,11.125
2019-02-22,West Campus - 5,2019,0
2019-02-22,North Campus Open Space - 5,2019,14
2019-02-22,North Campus Open Space - 4,2019,16
2019-02-25,North Parcel - 7,2019,18
2019-02-25,North Parcel - 6,2019,12
2019-02-25,North Parcel - 3,2019,11.25
2019-02-25,North Parcel - 4,2019,7.5
2019-02-25,North Parcel - 9,2019,12.5
2019-02-25,North Parcel - 14,2019,13
2019-02-25,North Parcel - 16,2019,16
2019-02-25,North Parcel - PH1,2019,12.25
2019-02-25,North Parcel - 19,2019,12
2019-02-27,West Campus - 7,2019,0
2019-02-27,West Campus - 6,2019,10.875
2019-02-27,West Campus - 11,2019,4.6875
2019-02-27,West Campus - 10,2019,5
2019-02-27,West Campus - 9,2019,5.625
2019-02-27,West Campus - 8,2019,0
2019-02-27,West Campus - 13,2019,0.375
2019-02-28,Del Sol/Camino Corto - 6,2019,11.75
2019-02-28,Del Sol/Camino Corto - 7,2019,9.75
2019-02-28,Del Sol/Camino Corto - 3,2019,8.75
2019-02-28,Del Sol/Camino Corto - 8,2019,6.25
2019-02-28,Del Sol/Camino Corto - 5,2019,7.75
2019-02-28,Del Sol/Camino Corto - 4,2019,12
2019-02-28,Del Sol/Camino Corto - 2,2019,10.5
2019-02-28,Del Sol/Camino Corto - U,2019,7.5
2019-02-28,Del Sol/Camino Corto - T,2019,3.5
2019-02-28,Del Sol/Camino Corto - G,2019,10
2019-02-28,Del Sol/Camino Corto - M,2019,11
2019-02-28,Del Sol/Camino Corto - H,2019,13.75
2019-02-28,Del Sol/Camino Corto - S,2019,11.25
2019-02-28,Del Sol/Camino Corto - F,2019,9.5
2019-02-28,Del Sol/Camino Corto - W,2019,14.5
2019-02-28,Del Sol/Camino Corto - E,2019,11.25
2019-02-28,Del Sol/Camino Corto - V,2019,9.5
2019-02-28,Del Sol/Camino Corto - N,2019,10
2019-02-28,More Mesa - 1,2019,14
2019-03-01,Manzanita Village - Manzanita Lake,2019,18.5
2019-03-01,Manzanita Village - Chumash,2019,29
2019-03-01,Manzanita Village - Santa Catalina,2019,10.2
2019-03-01,Manzanita Village - Santa Barbara,2019,11
2019-03-01,Manzanita Village - Anacapa East,2019,48
2019-03-01,Manzanita Village - Anacapa West,2019,46
2019-03-01,Manzanita Village - Santa Cruz,2019,26
2019-03-01,Manzanita Village - Santa Rosa,2019,14.5
2019-03-01,Manzanita Village - San Miguel,2019,13.5
2019-03-01,Storke Ranch - South,2019,12.5
2019-03-01,Storke Ranch - North,2019,11.75
2019-03-01,Storke Ranch - 2007,2019,11.25
2019-03-01,Storke Ranch - 2018,2019,12.75
2019-03-01,Storke Ranch - East,2019,7.5
2019-03-01,Storke Ranch - Main,2019,13
2019-03-01,South Parcel - SWW 1,2019,11.5
2019-03-01,South Parcel - 9,2019,7
2019-03-01,South Parcel - 8,2019,11
2019-03-01,South Parcel - 7,2019,14
2019-03-01,South Parcel - 6,2019,11
2019-03-01,South Parcel - 5,2019,19.5
2019-03-01,South Parcel - 4,2019,11
2019-03-01,South Parcel - 1,2019,9
2019-03-01,South Parcel - 2,2019,13.25
2019-03-01,South Parcel - 3,2019,14
2019-03-01,North Campus Open Space - 3,2019,6
2019-03-01,North Campus Open Space - 4,2019,16
2019-03-01,North Campus Open Space - 5,2019,13
2019-03-01,North Campus Open Space - 6,2019,12
2019-03-01,North Campus Open Space - 7,2019,12.75
2019-03-01,North Campus Open Space - 8,2019,13
2019-03-01,North Campus Open Space - 2,2019,18.5
2019-03-01,North Campus Open Space - 1,2019,19
2019-03-05,Ellwood Mesa - 1,2019,6
2019-03-05,Ellwood Mesa - 2,2019,4
2019-03-05,Ellwood Mesa - 3,2019,3.5
2019-03-05,Ellwood Mesa - 4,2019,3
2019-03-05,Ellwood Mesa - 5,2019,18.5
2019-03-05,Ellwood Mesa - 6,2019,3.76
2019-03-06,Manzanita Village - San Miguel,2019,18
2019-03-06,Manzanita Village - Santa Rosa,2019,17
2019-03-06,Manzanita Village - Santa Cruz,2019,28
2019-03-06,Manzanita Village - Anacapa West,2019,48.5
2019-03-06,Manzanita Village - Anacapa,2019,51
2019-03-06,Manzanita Village - Santa Barbara,2019,15.5
2019-03-06,Manzanita Village - Santa Catalina,2019,11.2
2019-03-06,Manzanita Village - Chumash,2019,35.5
2019-03-06,Manzanita Village - Manzanita Lake,2019,19
2019-03-06,West Campus - 11,2019,10
2019-03-06,West Campus - 7,2019,2.875
2019-03-06,West Campus - 6,2019,13.75
2019-03-06,West Campus - 13,2019,9.25
2019-03-06,West Campus - 8,2019,11.25
2019-03-06,West Campus - 9,2019,9
2019-03-06,West Campus - 10,2019,9.125
2019-03-07,More Mesa - 1,2019,15.875
2019-03-07,Del Sol/Camino Corto - 7,2019,11.25
2019-03-07,Del Sol/Camino Corto - 3,2019,14
2019-03-07,Del Sol/Camino Corto - 8,2019,12.75
2019-03-07,Del Sol/Camino Corto - 5,2019,10.5
2019-03-07,Del Sol/Camino Corto - 4,2019,16
2019-03-07,Del Sol/Camino Corto - 2,2019,12
2019-03-07,Del Sol/Camino Corto - 6,2019,13.5
2019-03-07,Del Sol/Camino Corto - G,2019,15.25
