objectid,location,pool_id,notes,gps_date,gps_time,acres,global_id,shape_area,shape_length,area
40,delsol_caminocorto,E,NA,2/28/19 8:00,11:25:42,0.361076248,2c818c98-f7d8-4b72-8631-b7553b461fe7,15728.42871,603.8978815,1461.220256
41,delsol_caminocorto,W,NA,2/28/19 8:00,11:31:38,0.238353793,a106df16-c50d-4fbd-b480-9c48b35f6e41,10382.66113,569.8663571,964.581716
42,delsol_caminocorto,F,NA,2/28/19 8:00,11:36:36,0.048555351,3902c960-d443-45f9-99f0-9f3eef042503,2115.061523,232.2383955,196.4958355
43,delsol_caminocorto,S,NA,2/28/19 8:00,11:39:25,0.141208493,69945898-e99b-4737-83cc-0e70f5e7b726,6151.032227,462.1425681,571.450146
44,delsol_caminocorto,H,NA,2/28/19 8:00,11:46:05,0.016548834,e64d12e2-b853-4146-a808-a6bceeb10892,720.8662109,96.57427971,66.97072724
45,delsol_caminocorto,M,NA,2/28/19 8:00,11:47:44,0.018285964,30c56138-85ce-4a90-bbbb-caaef672eeac,796.5341797,104.8718285,74.00051837
46,delsol_caminocorto,G,NA,2/28/19 8:00,11:50:53,0.104009443,6b6ec71c-f0b4-4880-be6e-1adca79f62c0,4530.633789,291.0841011,420.9100595
47,delsol_caminocorto,T,NA,2/28/19 8:00,11:54:06,0.039242837,906ba011-3d09-446e-9d6d-af206e6b04b9,1709.413086,155.7218322,158.809826
48,delsol_caminocorto,U,NA,2/28/19 8:00,11:56:11,0.109903776,cf72e8a8-72a6-4784-b569-0d83c089cd53,4787.397461,388.9054717,444.7642082
49,delsol_caminocorto,6,NA,2/28/19 8:00,11:59:11,0.208029542,84b591e6-ba45-4861-8cd7-edd0c0bb7d9a,9061.737305,355.388478,841.863758
50,delsol_caminocorto,2,NA,2/28/19 8:00,12:02:36,0.142889416,93a82008-94f7-4428-8a80-a345c65a209c,6224.241211,491.754225,578.2514898
